iter,T,current_profit,best_profit,neighbor_profit,accepted
337,0.110456,27766.2,27766.2,27757.5,0
338,0.108246,27766.2,27766.2,27750.4,0
339,0.106082,27766.2,27766.2,27734.1,0
340,0.10396,27766.2,27766.2,27725.2,0
341,0.101881,27766.2,27766.2,27706.7,0
342,0.0998431,27766.2,27766.2,27756.9,0
343,0.0978462,27766.2,27766.2,27735.5,0
344,0.0958893,27766.2,27766.2,27698.6,0
345,0.0939715,27766.2,27766.2,27697.8,0
346,0.0920921,27766.2,27766.2,27722.8,0
347,0.0902502,27766.2,27766.2,27717.1,0
348,0.0884452,27766.2,27766.2,27703.3,0
349,0.0866763,27766.2,27766.2,27751.7,0
350,0.0849428,27766.2,27766.2,27686.3,0
351,0.0832439,27766.2,27766.2,27771,1
352,0.0815791,27771,27771,27751.4,0
353,0.0799475,27771,27771,27681.5,0
354,0.0783485,27771,27771,27573.1,0
355,0.0767815,27771,27771,27740.8,0
356,0.0752459,27771,27771,27751.8,0
357,0.073741,27771,27771,27704.5,0
358,0.0722662,27771,27771,27785.7,1
359,0.0708209,27785.7,27785.7,27767.9,0
360,0.0694044,27785.7,27785.7,27723.9,0
361,0.0680164,27785.7,27785.7,27716.6,0
362,0.066656,27785.7,27785.7,27766.1,0
363,0.0653229,27785.7,27785.7,27749.2,0
364,0.0640164,27785.7,27785.7,27785.9,1
365,0.0627361,27785.9,27785.9,27647.9,0
366,0.0614814,27785.9,27785.9,27685.9,0
367,0.0602518,27785.9,27785.9,27740,0
368,0.0590467,27785.9,27785.9,27735.3,0
369,0.0578658,27785.9,27785.9,27747.9,0
370,0.0567085,27785.9,27785.9,27755.7,0
371,0.0555743,27785.9,27785.9,27740,0
372,0.0544628,27785.9,27785.9,27758.5,0
373,0.0533736,27785.9,27785.9,27774.9,0
374,0.0523061,27785.9,27785.9,27662,0
375,0.05126,27785.9,27785.9,27786,1
376,0.0502348,27786,27786,27634.1,0
377,0.0492301,27786,27786,27772.2,0
378,0.0482455,27786,27786,27704.8,0
379,0.0472806,27786,27786,27685.9,0
380,0.046335,27786,27786,27736.7,0
381,0.0454083,27786,27786,27671.6,0
382,0.0445001,27786,27786,27757.9,0
383,0.0436101,27786,27786,27725.6,0
384,0.0427379,27786,27786,27791.1,1
